Trace File,Cache Size (KB),Block Size (Bytes),Associativity,Hit Rate (%),Miss Rate (%)
gcc.trace,128,4,4,93.8016,6.19838
gcc.trace,256,4,4,93.8311,6.16891
gcc.trace,512,4,4,93.8354,6.16464
gcc.trace,1024,4,4,93.8356,6.16445
gcc.trace,2048,4,4,93.8356,6.16445
gcc.trace,4096,4,4,93.8356,6.16445
gzip.trace,128,4,4,66.7055,33.2945
gzip.trace,256,4,4,66.7055,33.2945
gzip.trace,512,4,4,66.7055,33.2945
gzip.trace,1024,4,4,66.7055,33.2945
gzip.trace,2048,4,4,66.7055,33.2945
gzip.trace,4096,4,4,66.7055,33.2945
mcf.trace,128,4,4,1.03241,98.9676
mcf.trace,256,4,4,1.03241,98.9676
mcf.trace,512,4,4,1.03241,98.9676
mcf.trace,1024,4,4,1.03241,98.9676
mcf.trace,2048,4,4,1.03241,98.9676
mcf.trace,4096,4,4,1.04547,98.9545
swim.trace,128,4,4,92.6199,7.38012
swim.trace,256,4,4,92.6225,7.37748
swim.trace,512,4,4,92.6225,7.37748
swim.trace,1024,4,4,92.6225,7.37748
swim.trace,2048,4,4,92.6225,7.37748
swim.trace,4096,4,4,92.6225,7.37748
twolf.trace,128,4,4,98.7612,1.23875
twolf.trace,256,4,4,98.7615,1.23855
twolf.trace,512,4,4,98.7615,1.23855
twolf.trace,1024,4,4,98.7615,1.23855
twolf.trace,2048,4,4,98.7615,1.23855
twolf.trace,4096,4,4,98.7615,1.23855
