Trace File,Cache Size (KB),Block Size (Bytes),Associativity,Hit Rate (%),Miss Rate (%)
gcc.trace,1024,1,4,93.1989,6.80108
gcc.trace,1024,2,4,93.6248,6.37523
gcc.trace,1024,4,4,93.8356,6.16445
gcc.trace,1024,8,4,95.9266,4.07343
gcc.trace,1024,16,4,97.825,2.17498
gcc.trace,1024,32,4,98.8289,1.17107
gcc.trace,1024,64,4,99.3459,0.654084
gcc.trace,1024,128,4,99.6209,0.379109
gzip.trace,1024,1,4,66.7039,33.2961
gzip.trace,1024,2,4,66.7041,33.2959
gzip.trace,1024,4,4,66.7055,33.2945
gzip.trace,1024,8,4,66.7072,33.2928
gzip.trace,1024,16,4,66.7856,33.2144
gzip.trace,1024,32,4,66.8253,33.1747
gzip.trace,1024,64,4,66.8461,33.1539
gzip.trace,1024,128,4,66.8565,33.1435
mcf.trace,1024,1,4,1.02457,98.9754
mcf.trace,1024,2,4,1.0287,98.9713
mcf.trace,1024,4,4,1.03241,98.9676
mcf.trace,1024,8,4,1.03832,98.9617
mcf.trace,1024,16,4,50.503,49.497
mcf.trace,1024,32,4,75.2378,24.7622
mcf.trace,1024,64,4,87.608,12.392
mcf.trace,1024,128,4,93.7955,6.2045
swim.trace,1024,1,4,92.5444,7.45565
swim.trace,1024,2,4,92.5935,7.4065
swim.trace,1024,4,4,92.6225,7.37748
swim.trace,1024,8,4,93.4642,6.53577
swim.trace,1024,16,4,96.2324,3.76757
swim.trace,1024,32,4,97.8905,2.10955
swim.trace,1024,64,4,98.8611,1.13888
swim.trace,1024,128,4,99.3977,0.602257
twolf.trace,1024,1,4,98.4769,1.52312
twolf.trace,1024,2,4,98.6608,1.3392
twolf.trace,1024,4,4,98.7615,1.23855
twolf.trace,1024,8,4,98.8598,1.14017
twolf.trace,1024,16,4,99.388,0.612024
twolf.trace,1024,32,4,99.6599,0.340083
twolf.trace,1024,64,4,99.8024,0.197588
twolf.trace,1024,128,4,99.8809,0.119091
