Trace File,Cache Size (KB),Block Size (Bytes),Associativity,Hit Rate (%),Miss Rate (%)
gcc.trace,1024,4,1,93.8305,6.16949
gcc.trace,1024,4,2,93.8348,6.16522
gcc.trace,1024,4,4,93.8356,6.16445
gcc.trace,1024,4,8,93.8356,6.16445
gcc.trace,1024,4,16,93.8357,6.16425
gcc.trace,1024,4,32,93.8359,6.16406
gcc.trace,1024,4,64,93.8359,6.16406
gzip.trace,1024,4,1,66.7055,33.2945
gzip.trace,1024,4,2,66.7055,33.2945
gzip.trace,1024,4,4,66.7055,33.2945
gzip.trace,1024,4,8,66.7055,33.2945
gzip.trace,1024,4,16,66.7055,33.2945
gzip.trace,1024,4,32,66.7055,33.2945
gzip.trace,1024,4,64,66.7055,33.2945
mcf.trace,1024,4,1,1.032,98.968
mcf.trace,1024,4,2,1.03227,98.9677
mcf.trace,1024,4,4,1.03241,98.9676
mcf.trace,1024,4,8,1.03241,98.9676
mcf.trace,1024,4,16,1.03241,98.9676
mcf.trace,1024,4,32,1.03241,98.9676
mcf.trace,1024,4,64,1.03241,98.9676
swim.trace,1024,4,1,92.6205,7.37946
swim.trace,1024,4,2,92.6225,7.37748
swim.trace,1024,4,4,92.6225,7.37748
swim.trace,1024,4,8,92.6225,7.37748
swim.trace,1024,4,16,92.6225,7.37748
swim.trace,1024,4,32,92.6225,7.37748
swim.trace,1024,4,64,92.6225,7.37748
twolf.trace,1024,4,1,98.7463,1.25367
twolf.trace,1024,4,2,98.7608,1.23917
twolf.trace,1024,4,4,98.7615,1.23855
twolf.trace,1024,4,8,98.7615,1.23855
twolf.trace,1024,4,16,98.7615,1.23855
twolf.trace,1024,4,32,98.7615,1.23855
twolf.trace,1024,4,64,98.7615,1.23855
